cas_latency,category,color,ecc,form_factor,lighting,manufacturer,manufacturer_color,modules_capacity_gb,modules_quantity,name,opendb_id,part_id,ram_type,registered,release_year,rgb,series,speed,total_capacity_gb,variant,voltage
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Create Expert Black / Gold DDR5-6400 CL32 48GB (2x24GB),000c0c27-8b0a-4760-92ec-89ef39e630d8,ram_0001,,,,,T-Create,,,6400 CL32,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Force Xtreem Pink DDR5-6800 CL34 48GB (2x24GB),001a1e21-a4f0-4c44-aadd-8e7af7203a2e,ram_0002,,,,,T-Force,,,6800 CL34,
,ram,,,,,Crucial,,,,Crucial CP2K64G56C46U5 Black DDR5-5600 CL46 128GB (2x64GB),001b8acb-1e90-4025-bc27-4d99540aee45,ram_0003,,,,,CP2K64G56C46U5,,,5600 CL46,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Force Delta RGB DDR4 16GB (1x16GB) 2666MHz CL16 WHITE,00224914-6d49-493d-8fda-5d0bfd2b087a,ram_0004,,,,,T-Force,,,Delta RGB White DDR4,
,ram,,,,,Silicon Power,,,,Silicon Power XPOWER Storm RGB Black DDR5-7600 CL36 32GB (1x32GB),0032510b-286b-400e-8782-9f18cbd5ef1d,ram_0005,,,,,XPOWER,,,7600 CL36,
,ram,,,,,Lexar,,,,Lexar Hades OC Gray / Black DDR4-3200 CL18 16GB (1x16GB),00385f07-4afd-4adf-a183-a3d860e6a2f8,ram_0006,,,,,Hades,,,3200 CL18,
,ram,,,,,ADATA,,,,ADATA XPG LANCER RGB ROG CERTIFIED Black DDR5-7200 CL34 48GB (2x24GB),0057d8fd-0bfd-4b75-b87a-0c44b7b1c147,ram_0007,,,,,XPG,,,7200 CL34,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Force Delta RGB Black DDR4-3200 CL16 32GB (2x16GB),0058e77c-1417-4afd-b864-54fd0f90cdab,ram_0008,,,,,T-Force,,,3200 CL16,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Create Expert Gray DDR4-3200 CL16 16GB (2x8GB),007f6ea0-d1db-4c2d-824f-a44c766f8bfe,ram_0009,,,,,T-Create,,,3200 CL16,
,ram,,,,,Crucial,,,,Crucial Ballistix Sport Gray / Silver DDR4-2400 CL16 8GB (1x8GB),00882fc3-05bc-4a87-8f39-6759d883e994,ram_0010,,,,,Ballistix,,,2400 CL16,
,ram,,,,,ADATA,,,,ADATA XPG LANCER RGB Black 32GB (2x16GB) DDR5 5200 CL38,00a55598-4e9c-4255-bcda-1e97600884d6,ram_0011,,,,,XPG Lancer,,,5200 CL38,
,ram,,,,,G.SKILL,,,,G.Skill Ripjaws S5 Black DDR5-6000 CL40 48GB (2x24GB),00bafd16-7075-4205-a069-18a679ae809d,ram_0012,,,,,Ripjaws,,,6000 CL40,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP T-Create Expert Black DDR5-7200 CL34 32GB (2x16GB),0118d8a1-e37c-486e-bd48-30aae342e8f8,ram_0013,,,,,T-Create,,,7200 CL34,
,ram,,,,,G.SKILL,,,,G.Skill Trident Z White / Black DDR5-5600 CL30 64GB (2x32GB),012111af-404e-42d6-aace-f3931da2eae1,ram_0014,,,,,Trident,,,5600 CL30,
,ram,,,,,G.SKILL,,,,G.Skill Trident Z5 RGB Black DDR5-6000 CL36 32GB (2x16GB),01392bfb-931b-4145-9826-77540d9f7cea,ram_0015,,,,,Trident,,,6000 CL36,
,ram,,,,,GeIL,,,,GeIL EVO V RGB Black DDR5-6800 CL36 96GB (2x48GB),0143caa5-8110-44a3-adf8-b6d4b1398722,ram_0016,,,,,EVO,,,6800 CL36,
,ram,,,,,Timetec,,,,Timetec PINNACLE Konduit RGB DDR4-3600 CL18 16GB (1x16GB),014cce3c-fd9f-4dbc-b7e3-8bbd324de68a,ram_0017,,,,,PINNACLE,,,3600 CL18,
,ram,,,,,TEAMGROUP,,,,TEAMGROUP Elite Plus Silver DDR5-5600 CL40 16GB (1x16GB),0164f75b-1318-46a3-b0f0-25b76d2ce74f,ram_0018,,,,,Elite,,,5600 CL40,
,ram,,,,,Corsair,,,,Corsair Dominator Platinum RGB Gray / Black DDR5-6000 CL30 32GB (2x16GB),016ab36c-c699-4cf1-b6bf-b8fe01c75e0f,ram_0019,,,,,Dominator,,,6000 CL30,
,ram,,,,,Corsair,,,,Corsair Vengeance RGB Black / Gray DDR5-6600 CL32 64GB (4x16GB),0180965b-df72-41b5-a7db-0b0415f385ec,ram_0020,,,,,Vengeance,,,6600 CL32,
,ram,,,,,Klevv,,,,Klevv CRAS X RGB Black DDR4-3200 CL16 8GB (1x8GB),018534ca-c5ed-413c-bed1-efb4b96404e2,ram_0021,,,,,CRAS,,,3200 CL16,
,ram,,,,,Kingston,,,,Kingston FURY Renegade Pro Registered Black DDR5-6400 CL32 128GB (4x32GB),0189f67f-5462-4b80-8886-4b9f6c5020a0,ram_0022,,,,,FURY,,,6400 CL32,
,ram,,,,,Kingston,,,,Kingston FURY White DDR5-5600 CL40 64GB (2x32GB),018e64d2-c744-4656-a22e-7da862794efb,ram_0023,,,,,FURY,,,5600 CL40,
,ram,,,,,Kingston,,,,Kingston FURY Beast Black DDR5-6000 CL30 32GB (1x32GB),019b5612-e889-4724-8acc-5332fc18e2de,ram_0024,,,,,FURY,,,6000 CL30,
,ram,,,,,Corsair,,,,Corsair Vengeance Black / Silver DDR5-6200 CL32 32GB (2x16GB),01aa1aa3-c1c7-4d4f-9872-ce0c94739ca8,ram_0025,,,,,Vengeance,,,6200 CL32,
,ram,,,,,Corsair,,,,Corsair Dominator Platinum RGB Black DDR4-3600 CL18 16GB (2x8GB),01d28304-01a0-4d29-85c4-f9f5f8daed14,ram_0026,,,,,Dominator,,,3600 CL18,
