cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
1,6,cpu,3.4,3.8,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i5 7500 OEM/Tray 3.4 GHz 4-Core LGA1151,1c972ff9-5284-4a30-b90c-cc51c9e1bce6,cpu_0101,,Intel Core i5,LGA 1151,65,4,
1,6,cpu,3.5,3.9,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i5 4690K 3.5 GHz 4-Core LGA1150,1caf4db8-ecaf-4067-b567-8aa0ad133980,cpu_0102,,Intel Core i5,LGA 1150,88,4,
8,8,cpu,3.4,4.3,,,,8,8,None,AMD,,,,Piledriver,AMD FX FX-8310 3.4 GHz 8-Core AM3+ OEM/Tray,1cb9bc6a-0bb2-4340-b162-4cead081e9cb,cpu_0103,,AMD FX,AM3+,95,8,
1,8,cpu,2.9,3.8,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700T 2.9 GHz 4-Core LGA1151,1cefeb0a-2b93-441f-a11d-3806b8ca937f,cpu_0104,,Intel Core i7,LGA 1151,35,8,
1,6,cpu,3.6,4.2,,,,4,4,None,Intel,,,,Coffee Lake Refresh,Intel Core i3 9100F 3.6 GHz 4-Core LGA1151,1d316a65-4f63-447e-b3ea-ca485c4334ac,cpu_0105,,Intel Core i3,LGA 1151,65,4,
32,128,cpu,4,5.4,,,,,32,None,AMD,4,,DDR5,Zen 5,AMD Ryzen Threadripper 9970X,1e7fa8c2-6f78-4b98-8b92-33066f7734e2,cpu_0106,2025, Ryzen Threadripper 9000 Series,sTR5,350,64,9970X
5,9,cpu,1.8,3.4,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9400T 1.8 GHz 6-Core LGA1151 (OEM/Tray),1e8d10d0-184a-4a18-b9cd-48b5f36b7464,cpu_0107,,Intel Core i5,LGA 1151,35,6,
5,20,cpu,2.8,5.2,,,,10,10,Intel UHD Graphics 630,Intel,,,,Comet Lake,Intel Core i9 10900 2.8 GHz 10-Core LGA1200,1ede694a-b736-40f7-b161-e16210679772,cpu_0108,,Intel Core i9,LGA 1200,65,20,
1,0,cpu,3.5,3.9,,,,2,2,AMD Radeon R5 (on-die),AMD,,,,Steamroller,AMD Pro A6 7400B 3.5 GHz 2-Core FM2+ OEM/Tray,1eed580c-0c1e-44dd-9cc6-74c749947ba1,cpu_0109,,AMD A6,FM2+,65,2,
1,8,cpu,4,4.9,,,,4,4,Intel HD Graphics P630,Intel,,,,Coffee Lake Refresh,Intel Xeon E 2274G 4 GHz 4-Core LGA1151 OEM/Tray,1fa79f23-46c7-4a5f-b2f3-52674dad84a7,cpu_0110,,Intel Xeon E,LGA 1151,83,8,
1,8,cpu,2.9,3.8,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700T 2.9 GHz 4-Core LGA1151 OEM/Tray,2025520b-82c1-4243-8bda-cb0991f2a492,cpu_0111,,Intel Core i7,LGA 1151,35,8,
12,64,cpu,3.7,5.4,,,,12,12,AMD Radeon,AMD,,,DDR5,Zen 4,AMD Ryzen 9 PRO 7945 3.7 GHz 12-Core AM5 OEM/Tray,2027bf67-9231-46ab-921d-b81868f28f9f,cpu_0112,,AMD Ryzen 9 PRO,AM5,65,24,
4,0,cpu,3.5,3.9,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A-Series A10 Pro 7800B 3.5 GHz 4-Core FM2+,203b9652-9323-431a-b85d-291a06f88377,cpu_0113,,AMD A10,FM2+,65,4,
18,75,cpu,3,4.4,,,,18,18,None,Intel,,,,Skylake,Intel Core i9 9980XE 3 GHz 18-Core LGA2066,208a3655-6a27-46c3-a276-acfe05108b36,cpu_0114,,Intel Core i9,LGA 2066,165,36,
5,15,cpu,2.4,3.2,,,,6,6,None,Intel,,,,Haswell,Intel Xeon E5 2620 V3 2.4 GHz 6-Core LGA2011-3,20b1d05b-c6ba-4577-b50a-e80f34681f04,cpu_0115,,Intel Xeon E5,LGA 2011-3,85,12,
1,8,cpu,4,4.4,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i7 4790K 4 GHz 4-Core LGA1150,216c864a-93a8-4834-8c02-00768e900109,cpu_0116,,Intel Core i7,LGA 1150,88,8,
1,8,cpu,3.7,4.4,,,,4,4,Intel UHD Graphics 630,Intel,,,,Comet Lake,Intel Core i3 10300 3.7 GHz 4-Core LGA1200,21d217b9-d570-482c-bc1f-d88ffba9f868,cpu_0117,,Intel Core i3,LGA 1200,65,8,
1,6,cpu,3,3.5,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i5 7400 3 GHz 4-Core LGA1151,222d95ca-323a-424a-8851-458549bf8771,cpu_0118,,Intel Core i5,LGA 1151,65,4,
5,20,cpu,2.5,4.6,1.8,3.3,,,10,None,Intel,,,"DDR5, DDR4",Raptor Lake,Intel Core i5 13400F 2.5 GHz 10-Core LGA1700,22546c6c-9af1-4646-a9af-0ede3444c6b7,cpu_0119,,Intel Core i5,LGA 1700,65,16,
5,15,cpu,3.6,3.8,,,,6,6,None,Intel,,,,Broadwell,Intel Core i7 6850K 3.6 GHz 6-Core LGA2011-3,2299271b-5fcf-4a33-912d-afc59b3f3dc3,cpu_0120,,Intel Core i7,LGA 2011-3,140,12,
4,16,cpu,3.4,3.8,,,,8,8,None,AMD,,,DDR4,Zen,AMD Ryzen 7 1700X 3.4 GHz 8-Core AM4,22f7d1e2-6bd6-4fe3-adaa-55f683d3cf5f,cpu_0121,,AMD Ryzen 7,AM4,95,16,
5,12,cpu,3.5,3.9,,,,6,6,None,Intel,,,,Ivy Bridge,Intel Xeon E5 1650 V2 OEM/Tray 3.5 GHz 6-Core LGA2011,238446af-8ca2-4fa9-a34d-f7ca53e92a0d,cpu_0122,,Intel Xeon E5,LGA 2011,130,12,
5,25,cpu,2.4,3.2,,,,10,10,None,Intel,,,,Ivy Bridge,Intel Xeon E5 2470V2 2.4 GHz 10-Core LGA1356,239ab6f9-265c-4d69-99b0-18b1b57f0231,cpu_0123,,Intel Xeon E5,LGA 1356,95,20,
2,20,cpu,2.5,3.3,,,,8,8,None,Intel,,,,Ivy Bridge,Intel Xeon E5 2450V2 2.5 GHz 8-Core LGA1356,23e6bfc0-9386-4dc9-ae96-27205baef755,cpu_0124,,Intel Xeon E5,LGA 1356,95,16,
1,0,cpu,3.5,3.8,,,,4,4,None,AMD,,,,Puma+,AMD Athlon X4 845 3.5 GHz 4-Core FM2+ OEM/Tray,23e954aa-3f6e-4738-895a-33539e595d84,cpu_0125,,AMD Athlon X4,FM2+,65,4,
1,10,cpu,3.7,4,,,,4,4,None,Intel,,,,Broadwell,Intel Xeon E5 1630 V4 3.7 GHz 4-Core LGA2011-3 OEM/Tray,2423fc7f-22b9-4613-a5b9-7e097571e794,cpu_0126,,Intel Xeon E5,LGA 2011-3,140,8,
64,256,cpu,3.2,5.1,,,,,64,None,AMD,8,,DDR5,Zen 4,AMD Ryzen Threadripper PRO 7985WX,247c298b-6d94-4740-ac2f-ff7171d70499,cpu_0127,2023,AMD Ryzen Threadripper PRO 7000 WX,sTR5,350,128,7985WX
2,16,cpu,3.8,5.1,,,,8,8,None,Intel,,,,Comet Lake,Intel Core i7 10700KF 3.8 GHz 8-Core LGA1200,251568e9-fc5d-44c3-bf09-81ba16def995,cpu_0128,,Intel Core i7,LGA 1200,125,16,
5,15,cpu,3.6,3.8,,,,6,6,None,Intel,,,,Broadwell,Intel Core i7 6850K 3.6 GHz 6-Core LGA2011-3,25aa1b27-21d2-4700-9149-491ed266e9e8,cpu_0129,,Intel Core i7,LGA 2011-3,140,12,
1,0,cpu,3.8,4,,,,2,2,AMD Radeon HD 8470D,AMD,,,,Piledriver,AMD A-Series A4 7300 3.8 GHz 2-Core FM2,25eb5fd4-728d-4e7e-b59a-d67a90f2fe60,cpu_0130,,AMD A4,FM2,65,2,
,4,cpu,4,4,,,0,2,2,Intel UHD Graphics 610,,2,,DDR4,Comet Lake,"Intel® Pentium® Gold G6400 Processor (4M Cache, 4.00 GHz)",26958ace-558b-4181-ba1a-82a0fbc8a132,cpu_0131,2020,,LGA 1200,58,4,
3,12,cpu,2.8,4.8,,,,6,6,Intel UHD Graphics 750,Intel,,,,Rocket Lake,Intel Core i5 11600 2.8 GHz 6-Core LGA1200,26b0bb00-dceb-406c-a60d-e82454d810a3,cpu_0132,,Intel Core i5,LGA 1200,65,12,
5,9,cpu,3.7,4.6,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9600K 3.7 GHz 6-Core LGA1151,270489aa-e7db-49f2-bfbe-0e122b4fb093,cpu_0133,,Intel Core i5,LGA 1151,95,6,
5,25,cpu,2.2,3,,,,10,10,None,Intel,,,,Ivy Bridge,Intel Xeon E5 2660 V2 2.2 GHz 10-Core LGA2011,27371786-817b-4ddf-bd01-75c69349a80a,cpu_0134,,Intel Xeon E5,LGA 2011,95,20,
1,8,cpu,3.3,3.7,,,,4,4,Intel HD Graphics P530,Intel,,,,Skylake,Intel Xeon E3 1225 V5 3.3 GHz 4-Core LGA1151 OEM/Tray,2761ac98-b4fc-4cf0-aca8-d7d08a5bb573,cpu_0135,,Intel Xeon E3,LGA 1151,80,4,
1,0,cpu,3.5,3.9,,,,2,2,AMD Radeon R5 (on-die),AMD,,,,Steamroller,AMD A6 A6-7400K 3.5 GHz 2-Core FM2+,27778427-bef4-4f66-91df-9b3be67b7e2e,cpu_0136,,AMD A6,FM2+,65,2,
10,5,cpu,3.3,4.1,,,,10,10,None,Intel,,,,Skylake,Intel Core i9 9820X 3.3 GHz 10-Core LGA2066,27c44194-75c5-468f-a8f3-3847cc0c7bce,cpu_0137,,Intel Core i9,LGA 2066,165,20,
4,16,cpu,3.5,5.3,,,,8,8,Intel UHD Graphics 750,Intel,,,,Rocket Lake,Intel Core i9 11900K 3.5 GHz 8-Core LGA1200,27ddd147-32ca-46ae-802b-c288f94f1f60,cpu_0138,,Intel Core i9,LGA 1200,125,16,
1,10,cpu,3.5,3.6,,,,4,4,None,Intel,,,,Haswell,Intel Xeon E5 1620 V3 OEM/Tray 3.5 GHz 4-Core LGA2011-3,27ea1b17-ea0f-46b7-bab2-ec21c9b4b694,cpu_0139,,Intel Xeon E5,LGA 2011-3,140,8,
24,30,cpu,3.4,5.3,2.5,4.2,8,8,16,Intel UHD Graphics 770,Intel,2,,"DDR5, DDR4",Raptor Lake,Intel Core i7 13700K 3.4 GHz 16-Core LGA1700,28155df9-8c91-4150-8786-96b8c54c309c,cpu_0140,2022,Intel Core i7 13000,LGA 1700,125,24,13700K
1,6,cpu,3.5,3.9,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i5 4690K 3.5 GHz 4-Core LGA1150,287b108d-79e7-4ccc-8a28-55c0e294469e,cpu_0141,,Intel Core i5,LGA 1150,88,4,
1,6,cpu,3.2,3.9,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i5 4690S 3.2 GHz 4-Core LGA1150,28d1cde9-50aa-4565-952b-ef06e454fe46,cpu_0142,,Intel Core i5,LGA 1150,65,4,
4,0,cpu,3.1,3.8,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A8 Pro 7600B 3.1 GHz 4-Core FM2+ OEM/Tray,29663d40-35a2-4240-ab87-778bacff4a1b,cpu_0143,,AMD A8,FM2+,65,4,
1,6,cpu,4,4.2,,,,4,4,None,Intel,,,,Kaby Lake,Intel Core i5 7640X 4 GHz 4-Core LGA2066,296774f6-2c83-4ce0-b475-125e4c88c0d1,cpu_0144,,Intel Core i5,LGA 2066,112,4,
5,9,cpu,2.9,4.1,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9400 2.9 GHz 6-Core LGA1151 OEM/Tray,298af2a1-9111-4100-bc6e-4f6c03beaf72,cpu_0145,,Intel Core i5,LGA 1151,65,6,
1,8,cpu,3.4,3.8,,,,4,4,None,Intel,,,,Haswell Refresh,Intel Xeon E3 1231 V3 3.4 GHz 4-Core LGA1150,2a28256e-83fa-4e1a-9030-ffb0b824b5e2,cpu_0146,,Intel Xeon E3,LGA 1150,80,8,
5,15,cpu,3.5,3.8,,,,6,6,None,Intel,,,,Haswell,Intel Xeon E5 1650 V3 3.5 GHz 6-Core LGA2011-3,2a527e3b-b387-4e1b-840f-ac53cf52fe44,cpu_0147,,Intel Xeon E5,LGA 2011-3,140,12,
22,20,cpu,3.3,4.9,2.7,4.4,,,10,None,Intel,,,DDR5,Arrow Lake,Intel Core Ultra 5 225F 3.3 GHz 10-Core LGA1851,2a6bfb8f-72ee-4a6b-9f03-a6b92c6893b5,cpu_0148,,Intel Core Ultra 5,LGA 1851,65,10,
12,64,cpu,3.6,5.4,,,,12,12,AMD Radeon,AMD,,,DDR5,Zen 4,AMD Ryzen 9 7900 3.6 GHz 12-Core AM5,2ab00ac9-d91e-4250-9297-2bdd6f617d41,cpu_0149,,AMD Ryzen 9,AM5,65,24,
5,25,cpu,3.5,3.8,,,,6,6,None,Intel,,,,Ivy Bridge,Intel Xeon E5 E5-2643 V2 3.5 GHz 6-Core LGA2011 OEM/Tray,2ad8ca67-5f7d-4f45-a7aa-005770ef092d,cpu_0150,,Intel Xeon E5,LGA 2011,130,12,
1,0,cpu,3.5,3.9,,,,2,2,AMD Radeon R5 (on-die),AMD,,,,Steamroller,AMD A 6 7400K 3.5 GHz 2-Core FM2+ OEM/Tray,2aee2c99-b1b1-4a64-bdca-e6b3584ae4f7,cpu_0151,,AMD A6,FM2+,65,2,
3,99,cpu,3.6,4.2,,,,6,6,None,AMD,,,DDR4,Zen+,AMD Ryzen 5 2600X 3.6 GHz 6-Core AM4,2b6e8f53-c9c6-4a64-a9fd-75d40fa7150a,cpu_0152,,AMD Ryzen 5,AM4,95,12,
5,9,cpu,2.2,3.7,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9500T 2.2 GHz 6-Core LGA1151,2bbcd24b-206e-4bb0-bff9-28e7bd5b0312,cpu_0153,,Intel Core i5,LGA 1151,35,6,
8,64,cpu,3.5,4.7,,,,16,16,None,AMD,,,DDR4,Zen 2,AMD Ryzen 9 3950X 3.5 GHz 16-Core AM4,2c0ed4a5-939f-4902-bfeb-cb16c0890ef2,cpu_0154,,AMD Ryzen 9,AM4,105,32,
1,8,cpu,3.4,4,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i7 6700 3.4 GHz 4-Core LGA1151,2c54d002-b785-4e74-943d-e7288d840108,cpu_0155,,Intel Core i7,LGA 1151,65,8,
12,64,cpu,4.7,5.4,,,,,12,,AMD,8,,DDR5,Zen 5,AMD Ryzen Threadripper PRO 9945WX,2c739528-49a0-4e78-8046-993ae71f3167,cpu_0156,2025,AMD Ryzen Threadripper PRO 9000 WX-Series,sTR5,350,24,PRO 9945WX
24,30,cpu,1.4,4.9,1,3.6,,,16,None,Intel,,,"DDR5, DDR4",Raptor Lake,Intel Core i7 13700T OEM/Tray 1.4 GHz 16-Core LGA1700,2cab4b82-d7ff-46f1-9148-421caabdd24d,cpu_0157,,Intel Core i7,LGA 1700,35,24,
1,8,cpu,3.8,4.7,,,,4,4,Intel HD Graphics P630,Intel,,,,Coffee Lake,Intel Xeon E 2174G 3.8 GHz 4-Core LGA1151,2cfe7cca-79ec-4c25-be93-14494bf171cd,cpu_0158,,Intel Xeon E,LGA 1151,71,8,
5,25,cpu,2.6,3.3,,,,10,10,None,Intel,,,,Haswell,Intel Xeon E5 2660 V3 2.6 GHz 10-Core LGA2011-3,2d13d0bd-abc8-42e3-b8f6-64ae86b3d24d,cpu_0159,,Intel Xeon E5,LGA 2011-3,105,20,
2,16,cpu,2.9,4.8,,,,8,8,None,Intel,,,,Comet Lake,Intel Core i7 10700F 2.9 GHz 8-Core LGA1200,2e3b7f24-a606-4652-9ffa-74a7f1c41bfe,cpu_0160,,Intel Core i7,LGA 1200,65,16,
1,8,cpu,3.9,4.2,,,,4,4,None,Intel,,,,Kaby Lake,Intel Xeon E3 1280 V6 3.9 GHz 4-Core LGA1151,2e6e5bc8-ed9a-44c5-90ad-28bb50220289,cpu_0161,,Intel Xeon E3,LGA 1151,72,8,
1,8,cpu,4.1,4.5,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Xeon E3 1285 V6 4.1 GHz 4-Core LGA1151 OEM/Tray,2e79dd02-9922-4846-ad76-c7c268bd0b86,cpu_0162,,Intel Xeon E3,LGA 1151,79,8,
1,8,cpu,3.8,4.2,,,,4,4,None,Intel,,,,Kaby Lake,Intel Xeon E3 1270 V6 3.8 GHz 4-Core LGA1151,2e92a455-b6df-4dcc-9dbb-5277bf3b537b,cpu_0163,,Intel Xeon E3,LGA 1151,72,8,
4,16,cpu,3.4,3.8,,,,8,8,None,AMD,,,DDR4,Zen,AMD Ryzen 7 1700X 3.4 GHz 8-Core AM4,2fab13a0-42a4-4698-919c-99f167e1d0b0,cpu_0164,,AMD Ryzen 7,AM4,95,16,
1,6,cpu,2.5,3.1,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i5 6500T 2.5 GHz 4-Core LGA1151,301703ae-e5a6-4804-906e-89d4d430d5aa,cpu_0165,,Intel Core i5,LGA 1151,35,4,
32,36,cpu,3,5.8,2.2,4.3,,,24,None,Intel,,,"DDR5, DDR4",Raptor Lake,Intel Core i9 13900KF 3.0 GHz 24-Core LGA1700,310fc3af-a1f1-4923-8f2f-5f835020fac1,cpu_0166,,Intel Core i9,LGA 1700,125,32,
3,12,cpu,2.6,4.4,,,,6,6,Intel UHD Graphics 730,Intel,,,,Rocket Lake,Intel Core i5 11400 2.6 GHz 6-Core LGA1200,31606fb8-29d9-43fc-bc34-7a7f7ec309c3,cpu_0167,,Intel Core i5,LGA 1200,65,12,
1,8,cpu,3.6,4.2,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700 3.6 GHz 4-Core LGA1151 OEM/Tray,31a90a7c-fc8f-4317-a617-806bd1f55b7c,cpu_0168,,Intel Core i7,LGA 1151,65,8,
5,12,cpu,3.2,4.6,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i7 8700 3.2 GHz 6-Core LGA1151 OEM/Tray,31fc5960-2957-41b4-b592-3565bc9b5aea,cpu_0169,,Intel Core i7,LGA 1151,65,12,
1,8,cpu,4.2,4.5,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700K 4.2 GHz 4-Core LGA1151 OEM/Tray,324e7435-69f1-4a38-81b0-e671b83b3707,cpu_0170,,Intel Core i7,LGA 1151,91,8,
10,25,cpu,3.7,4.7,,,,10,10,None,Intel,,,,Cascade Lake,Intel Core i9 10900X 3.7 GHz 10-Core,32841124-84f1-487b-a5c4-d9d05acf3fa6,cpu_0171,,Intel Core i9,LGA 2066,165,20,
12,128,cpu,3.8,4.5,,,,24,24,None,AMD,,,,Zen 2,AMD Threadripper 3960X 3.8 GHz 24-Core sTRX4,32aeba0c-9985-418f-878f-76cbba11aa90,cpu_0172,,AMD Threadripper,sTRX4,280,48,
1,19.25,cpu,3.5,4.4,0,0,0,0,10,None,,4,,DDR4,Skylake-X,Intel Core i9-9900X,33fd5275-e263-40ed-9c8a-345ef9d5b7e7,cpu_0173,2018,,LGA 2066,165,20,
4,0,cpu,3.6,4,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A10 A10-7860k 3.6 GHz 4-Core FM2+,341e1dc1-88ea-4693-b620-6bbaac3baab2,cpu_0174,,AMD A10,FM2+,65,4,
5,18,cpu,3,4.6,,,,6,6,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Alder Lake,Intel Core i5 12500 3.0 GHz 6-Core LGA1700,34711b7b-a952-4b0d-a251-3774b3406e3d,cpu_0175,,Intel Core i5,LGA 1700,65,12,
8,8,cpu,4,4.3,,,,8,8,None,AMD,,,,Piledriver,AMD FX FX 8370 4 GHz 8-Core AM3+,357566cb-d041-422f-85df-9b3a310b205d,cpu_0176,,AMD FX,AM3+,125,8,
1,6,cpu,2.8,3.7,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i5 7600T 2.8 GHz 4-Core LGA1151 OEM/Tray,3584f04a-5db8-4df4-970b-cd871fa67f2c,cpu_0177,,Intel Core i5,LGA 1151,35,4,
2,4,cpu,3.5,3.7,,,,4,4,AMD Radeon Vega 8,AMD,,,DDR4,Zen,AMD Ryzen 3 2200G 3.5 GHz 4-Core AM4,364316a2-e476-40f7-b8c7-f7ce230a8ab9,cpu_0178,,AMD Ryzen 3,AM4,65,4,
1,8,cpu,3.5,3.9,,,,4,4,None,Intel,,,,Kaby Lake,Intel Xeon E3 1230 V6 3.5 GHz 4-Core LGA1151,368608eb-590e-4d13-b043-d2fa430ee4f1,cpu_0179,,Intel Xeon E3,LGA 1151,72,8,
5,9,cpu,2.9,4.1,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9400 2.9 GHz 6-Core LGA1151 OEM/Tray,37071895-fe38-4a6f-9239-3c024e145968,cpu_0180,,Intel Core i5,LGA 1151,65,6,
3,32,cpu,3.7,4.6,,,,6,6,None,AMD,,,DDR4,Zen 3,AMD Ryzen 5 5600X 3.7 GHz 6-Core AM4,3796bb7f-b124-4628-9592-cb2b3bf47e08,cpu_0181,,AMD Ryzen 5,AM4,65,12,
0,16.5,cpu,3.8,4.4,0,0,0,0,8,None,,4,,DDR4,Skylake-X,Intel Core i7-9800X Skylake X 8-Core 3.8 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I79800X Desktop Processor,3805a074-834c-4673-9485-4ea1d306a008,cpu_0182,2018,,LGA 2066,165,16,
1,8,cpu,3.7,4,,,,4,4,None,Intel,,,,Skylake,Intel Xeon E3 1280 V5 3.7 GHz 4-Core LGA1151,383d6fee-c6ac-49af-9200-86fee2126ec3,cpu_0183,,Intel Xeon E3,LGA 1151,80,8,
8,8,cpu,4.7,5,,,,8,8,None,AMD,,,,Piledriver,AMD FX 9590 4.7 GHz 8-Core AM3+ OEM/Tray,3843f3bc-8a31-4e15-bad7-8de023327f7e,cpu_0184,,AMD FX,AM3+,220,8,
2,20,cpu,3.1,3.8,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2687W 3.1 GHz 8-Core LGA2011,385549e4-381d-4370-b561-0e23ba4e9e29,cpu_0185,,Intel Xeon E5,LGA 2011,150,16,
1,8,cpu,3.6,4,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i7 4790 3.6 GHz 4-Core LGA1150,38950b3d-4b1e-4d07-a3dc-105c256d5327,cpu_0186,,Intel Core i7,LGA 1150,84,8,
16,22,cpu,2.8,4.4,,,,16,16,None,Intel,,,,Skylake,Intel Core i9 7960X 2.8 GHz 16-Core LGA2066 OEM/Tray,38a5507d-8a19-4894-a2bd-33afc1148a0d,cpu_0187,,Intel Core i9,LGA 2066,165,32,
8,16,cpu,4.1,5,,,,8,8,None,AMD,,,DDR5,Zen 4,AMD Ryzen 7 8700F 4.1 GHz 8-Core AM5,38cf0049-8c6a-417d-afd5-292d384ca632,cpu_0188,,AMD Ryzen 7,AM5,65,16,
512,4,cpu,3.2,0,0,0,0,2,2,AMD Radeon Vega 3,,2,,DDR4,Zen,AMD Athlon 200GE,39c1bfe9-565b-44eb-b940-8eec3b68d969,cpu_0189,2018,,AM4,35,4,
5,15,cpu,3.6,4,,,,6,6,None,Intel,,,,Ivy Bridge,Intel Core i7 Extreme 4960X 3.6 GHz 6-Core LGA2011,3a4529d6-934a-481f-9b3a-0068283355c3,cpu_0190,,Intel Core i7 Extreme,LGA 2011,130,12,
5,9,cpu,3,4.1,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i5 8500 3 GHz 6-Core LGA1151,3a6ddea6-2e33-4eb9-9154-b0f5f93ac3aa,cpu_0191,,Intel Core i5,LGA 1151,65,6,
6,96,cpu,4,4.5,,,,6,6,AMD Radeon,AMD,,,DDR5,Zen 4,AMD Ryzen 5 7500X3D 4 GHz 6-Core AM5,3af33662-8d17-4e72-bdd9-200604b9db7b,cpu_0192,2025,AMD Ryzen 5,AM5,65,12,
1,0,cpu,3.8,4,,,,2,2,AMD Radeon HD 8470D,AMD,,,,Piledriver,AMD A4 Pro 7300B 3.8 GHz 2-Core FM2 OEM/Tray,3b7629de-b1bc-4f03-b9bb-e5e13110f2d2,cpu_0193,,AMD A4,FM2,65,2,
10,25,cpu,3.5,4.4,,,,10,10,None,Intel,,,,Skylake,Intel Core i9 9900X 3.5 GHz 10-Core LGA2066,3b805488-29ca-4c3a-b4a7-a7a928396ee6,cpu_0194,,Intel Core i9,LGA 2066,165,20,
16,64,cpu,3,4.2,,,,32,32,None,AMD,,,,Zen+,AMD Threadripper Threadripper 2990WX 3 GHz 32-Core sTR4 OEM/Tray,3b94f58c-7070-4a76-9b47-3a9685286621,cpu_0195,,AMD Threadripper,TR4,250,64,
5,9,cpu,3.1,4.3,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i5 8600 3.1 GHz 6-Core LGA1151 OEM/Tray,3bb42e7e-5343-49cb-ac55-7712fc5eb285,cpu_0196,,Intel Core i5,LGA 1151,65,6,
1,6,cpu,2.5,3.1,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i5 6500T 2.5 GHz 4-Core LGA1151 OEM/Tray,3bfc0cf3-b67e-41c7-b938-8887fe7cf51d,cpu_0197,,Intel Core i5,LGA 1151,35,4,
5,35,cpu,2.6,3.6,,,,14,14,None,Intel,,,,Haswell,Intel Xeon E5 2697 V3 2.6 GHz 14-Core LGA2011-3,3c0eec5b-eb72-42cc-9dcd-9448280ae5a4,cpu_0198,,Intel Xeon E5,LGA 2011-3,145,28,
1,8,cpu,3.3,3.7,,,,4,4,Intel HD Graphics P630,Intel,,,,Kaby Lake,Intel Xeon E3 1225 V6 3.3 GHz 4-Core LGA1151,3cb99ba6-4a3b-4f8b-b63f-f20a79be104a,cpu_0199,,Intel Xeon E3,LGA 1151,73,4,
5,25,cpu,2.6,3.3,,,,10,10,None,Intel,,,,Haswell,Intel Xeon E5 2660 V3 2.6 GHz 10-Core LGA2011-3 OEM/Tray,3d4b0dcc-cea0-48ac-9781-f46b07e5721c,cpu_0200,,Intel Xeon E5,LGA 2011-3,105,20,
5,12,cpu,2.4,4,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i7 8700T 2.4 GHz 6-Core LGA1151 OEM/Tray,3d98e4de-a80c-468c-afd0-6a97073dc8be,cpu_0201,,Intel Core i7,LGA 1151,35,12,
2,12,cpu,3.6,4.9,,,,8,8,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i7 9700K 3.6 GHz 8-Core LGA1151 OEM/Tray,3e340505-fece-4bef-9762-866805e51037,cpu_0202,,Intel Core i7,LGA 1151,95,8,
4,32,cpu,3.9,4.5,,,,8,8,None,AMD,,,DDR4,Zen 2,AMD Ryzen 7 3800X 3.9 GHz 8-Core AM4 OEM/Tray,3e839c22-2045-41b5-a687-e6d8036db649,cpu_0203,,AMD Ryzen 7,AM4,105,16,
